case_id,config,elapsed_s,artifact_count
000_sk_sgemm_quick,Tensile/Tests/common/streamk/gfx1250/sk_sgemm_quick.yaml,9.867552,2
001_sk_mxf8f4gemm_tdm,Tensile/Tests/common/streamk/gfx1250/sk_mxf8f4gemm_tdm.yaml,0.842282,1
002_sk_mxf8gemm_explicit,Tensile/Tests/common/streamk/gfx1250/sk_mxf8gemm_explicit.yaml,0.632737,1
003_sk_mxf4gemm_explicit,Tensile/Tests/common/streamk/gfx1250/sk_mxf4gemm_explicit.yaml,0.638681,1
004_sk_mxf8gemm_tdm,Tensile/Tests/common/streamk/gfx1250/sk_mxf8gemm_tdm.yaml,0.826237,1
005_sk_f8gemm_quick,Tensile/Tests/common/streamk/gfx1250/sk_f8gemm_quick.yaml,0.749734,1
006_sk_hgemm_quick,Tensile/Tests/common/streamk/gfx1250/sk_hgemm_quick.yaml,3.926263,2
007_sk_mxf4gemm_tdm,Tensile/Tests/common/streamk/gfx1250/sk_mxf4gemm_tdm.yaml,1.367896,1
008_spmm_b8hs,Tensile/Tests/common/sparse/gfx1250/spmm_b8hs.yaml,17.876597,4
009_spmm_f8,Tensile/Tests/common/sparse/gfx1250/spmm_f8.yaml,12.256195,4
010_spmm_b8f8,Tensile/Tests/common/sparse/gfx1250/spmm_b8f8.yaml,2.981708,1
011_spmm_i8,Tensile/Tests/common/sparse/gfx1250/spmm_i8.yaml,8.826184,4
012_spmm_bf16_sb,Tensile/Tests/common/sparse/gfx1250/spmm_bf16_sb.yaml,8.469296,4
013_spmm_b8f8_sb,Tensile/Tests/common/sparse/gfx1250/spmm_b8f8_sb.yaml,2.265619,1
014_f16_activation,Tensile/Tests/common/sparse/gfx1250/f16_activation.yaml,1.255136,1
015_spmm_f8_ml,Tensile/Tests/common/sparse/gfx1250/spmm_f8_ml.yaml,19.389513,8
016_spmm_tdm_all,Tensile/Tests/common/sparse/gfx1250/spmm_tdm_all.yaml,5.611121,9
017_spmm_f8hs_sb,Tensile/Tests/common/sparse/gfx1250/spmm_f8hs_sb.yaml,1.820198,1
018_spmm_b8bs,Tensile/Tests/common/sparse/gfx1250/spmm_b8bs.yaml,10.0692,4
019_spmm_f16_sb,Tensile/Tests/common/sparse/gfx1250/spmm_f16_sb.yaml,4.951969,4
020_spmm_bf16,Tensile/Tests/common/sparse/gfx1250/spmm_bf16.yaml,5.043847,4
021_spmm_b8bs_sb,Tensile/Tests/common/sparse/gfx1250/spmm_b8bs_sb.yaml,2.152098,1
022_spmm_i8hs,Tensile/Tests/common/sparse/gfx1250/spmm_i8hs.yaml,8.540487,4
023_spmm_i8bs,Tensile/Tests/common/sparse/gfx1250/spmm_i8bs.yaml,4.929589,1
024_spmm_b8_sb,Tensile/Tests/common/sparse/gfx1250/spmm_b8_sb.yaml,1.872175,1
025_spmm_f8bs_sb,Tensile/Tests/common/sparse/gfx1250/spmm_f8bs_sb.yaml,1.842506,1
026_spmm_i8bs_sb,Tensile/Tests/common/sparse/gfx1250/spmm_i8bs_sb.yaml,1.933016,1
027_spmm_f8b8,Tensile/Tests/common/sparse/gfx1250/spmm_f8b8.yaml,4.60795,2
028_spmm_f8_sb,Tensile/Tests/common/sparse/gfx1250/spmm_f8_sb.yaml,5.098699,4
029_spmm_f8b8_sb,Tensile/Tests/common/sparse/gfx1250/spmm_f8b8_sb.yaml,1.81743,1
030_spmm_i8hs_sb,Tensile/Tests/common/sparse/gfx1250/spmm_i8hs_sb.yaml,5.195179,4
031_spmm_b8hs_sb,Tensile/Tests/common/sparse/gfx1250/spmm_b8hs_sb.yaml,1.867424,1
032_bf16_activation,Tensile/Tests/common/sparse/gfx1250/bf16_activation.yaml,1.050218,1
033_spmm_i8_sb,Tensile/Tests/common/sparse/gfx1250/spmm_i8_sb.yaml,5.845522,4
034_spmm_b8,Tensile/Tests/common/sparse/gfx1250/spmm_b8.yaml,2.442603,1
035_spmm_f16,Tensile/Tests/common/sparse/gfx1250/spmm_f16.yaml,7.515322,5
036_spmm_f8bs,Tensile/Tests/common/sparse/gfx1250/spmm_f8bs.yaml,2.599235,1
037_spmm_tdm_f16_transposes,Tensile/Tests/common/sparse/gfx1250/spmm_tdm_f16_transposes.yaml,1.058537,4
038_spmm_f8hs,Tensile/Tests/common/sparse/gfx1250/spmm_f8hs.yaml,9.253172,4
039_spmm_fp16_ml1,Tensile/Tests/common/sparse/gfx1250/spmm_fp16_ml1.yaml,4.617918,8
040_hhs_bgrada_gfx1250,Tensile/Tests/common/gradient/gfx1250/hhs_bgrada_gfx1250.yaml,5.931133,4
041_hhs_bgradd_gfx1250,Tensile/Tests/common/gradient/gfx1250/hhs_bgradd_gfx1250.yaml,5.993245,4
042_bbs_bgradd_gfx1250,Tensile/Tests/common/gradient/gfx1250/bbs_bgradd_gfx1250.yaml,5.953659,4
043_hhs_dgelu_gfx1250,Tensile/Tests/common/gradient/gfx1250/hhs_dgelu_gfx1250.yaml,2.776599,4
044_bbs_dgelu_gfx1250,Tensile/Tests/common/gradient/gfx1250/bbs_dgelu_gfx1250.yaml,2.889946,4
045_bbs_bgrada_gfx1250,Tensile/Tests/common/gradient/gfx1250/bbs_bgrada_gfx1250.yaml,6.262881,4
046_hhs_bgradb_gfx1250,Tensile/Tests/common/gradient/gfx1250/hhs_bgradb_gfx1250.yaml,6.24748,4
047_bbs_bgradb_gfx1250,Tensile/Tests/common/gradient/gfx1250/bbs_bgradb_gfx1250.yaml,6.284486,4
